original_name,normalized_name,equipment_prefix,source_path,destination_path
cc_other_br_9066364_en.pdf,drager_vn500_cc_other_br_9066364_en.pdf,drager_vn500,data\raw_original_unicos\cc_other_br_9066364_en.pdf,data\raw_normalized\drager_vn500_cc_other_br_9066364_en.pdf
cc_other_br_9066465_es.pdf,drager_vn500_cc_other_br_9066465_es.pdf,drager_vn500,data\raw_original_unicos\cc_other_br_9066465_es.pdf,data\raw_normalized\drager_vn500_cc_other_br_9066465_es.pdf
Checklist Bilirrubinómetro Dräger JM-105.pdf,bilirrubinometro_drager_jm105_checklist_bilirrubinometro_drager_jm_105.pdf,bilirrubinometro_drager_jm105,data\raw_original_unicos\Checklist Bilirrubinómetro Dräger JM-105.pdf,data\raw_normalized\bilirrubinometro_drager_jm105_checklist_bilirrubinometro_drager_jm_105.pdf
Dispo_8155-14 manual kairos.pdf,electrobisturi_dispo_8155_14_manual_kairos.pdf,electrobisturi,data\raw_original_unicos\Dispo_8155-14 manual kairos.pdf,data\raw_normalized\electrobisturi_dispo_8155_14_manual_kairos.pdf
entrar en servicio y copiar log errores recarga soft.pdf,drager_vn500_entrar_en_servicio_y_copiar_log_errores_recarga_soft.pdf,drager_vn500,data\raw_original_unicos\entrar en servicio y copiar log errores recarga soft.pdf,data\raw_normalized\drager_vn500_entrar_en_servicio_y_copiar_log_errores_recarga_soft.pdf
ePM Series Compact Monitor_Service Manual_V1.0_EN.pdf,monitor_multiparametrico_epm_series_compact_monitor_service_manual_v1_0_en.pdf,monitor_multiparametrico,data\raw_original_unicos\ePM Series Compact Monitor_Service Manual_V1.0_EN.pdf,data\raw_normalized\monitor_multiparametrico_epm_series_compact_monitor_service_manual_v1_0_en.pdf
FG-TP-80.pdf,tp_100_fg_tp_80.pdf,tp_100,data\raw_original_unicos\FG-TP-80.pdf,data\raw_normalized\tp_100_fg_tp_80.pdf
Guia Rapida para enfermeras.pdf,ventilador_engstrom_guia_rapida_para_enfermeras.pdf,ventilador_engstrom,data\raw_original_unicos\Guia Rapida para enfermeras.pdf,data\raw_normalized\ventilador_engstrom_guia_rapida_para_enfermeras.pdf
HD-67 Troubleshooting equipos rodantes MAC GMM V2.pdf,rodantes_mac_gmm_hd_67_troubleshooting_equipos_rodantes_mac_gmm_v2.pdf,rodantes_mac_gmm,data\raw_original_unicos\HD-67 Troubleshooting equipos rodantes MAC GMM V2.pdf,data\raw_normalized\rodantes_mac_gmm_hd_67_troubleshooting_equipos_rodantes_mac_gmm_v2.pdf
IfU_Globe_Trotter_GT5400_Crossvent_2i__MU21764.pdf,ventilador_crossvent_ifu_globe_trotter_gt5400_crossvent_2i_mu21764.pdf,ventilador_crossvent,data\raw_original_unicos\IfU_Globe_Trotter_GT5400_Crossvent_2i__MU21764.pdf,data\raw_normalized\ventilador_crossvent_ifu_globe_trotter_gt5400_crossvent_2i_mu21764.pdf
iMEC_Service Manual_V4.0_EN.pdf,monitor_multiparametrico_imec_service_manual_v4_0_en.pdf,monitor_multiparametrico,data\raw_original_unicos\iMEC_Service Manual_V4.0_EN.pdf,data\raw_normalized\monitor_multiparametrico_imec_service_manual_v4_0_en.pdf
Introduccion-Newport-HT-70-Plus.pdf,ventilador_newport_ht70_introduccion_newport_ht_70_plus.pdf,ventilador_newport_ht70,data\raw_original_unicos\Introduccion-Newport-HT-70-Plus.pdf,data\raw_normalized\ventilador_newport_ht70_introduccion_newport_ht_70_plus.pdf
L3APNMU--B Manual de usuario LUFT3APN-AP (1).pdf,ventilador_leistung_luft3_l3apnmu_b_manual_de_usuario_luft3apn_ap_1.pdf,ventilador_leistung_luft3,data\raw_original_unicos\L3APNMU--B Manual de usuario LUFT3APN-AP (1).pdf,data\raw_normalized\ventilador_leistung_luft3_l3apnmu_b_manual_de_usuario_luft3apn_ap_1.pdf
Leep System 1000.pdf,electrobisturi_leep_system_1000.pdf,electrobisturi,data\raw_original_unicos\Leep System 1000.pdf,data\raw_normalized\electrobisturi_leep_system_1000.pdf
LEEP-user-manual.pdf,electrobisturi_leep_user_manual.pdf,electrobisturi,data\raw_original_unicos\LEEP-user-manual.pdf,data\raw_normalized\electrobisturi_leep_user_manual.pdf
manual Crossvent 3.pdf,ventilador_crossvent_manual_crossvent_3.pdf,ventilador_crossvent,data\raw_original_unicos\manual Crossvent 3.pdf,data\raw_normalized\ventilador_crossvent_manual_crossvent_3.pdf
Manual de Calibración Neumovent Graph.pdf,ventilador_neumovent_manual_de_calibracion_neumovent_graph.pdf,ventilador_neumovent,data\raw_original_unicos\Manual de Calibración Neumovent Graph.pdf,data\raw_normalized\ventilador_neumovent_manual_de_calibracion_neumovent_graph.pdf
