id_documento;equipo_categoria;fabricante;modelo;variante_version;archivo;ruta;tamano_bytes;fecha_modificacion;tipo_documento;idioma;perfil_destino;estado_curaduria;decision;motivo_decision;requiere_ocr;duplicado;documento_equivalente;responsable;observaciones
DOC-0058;;;;;ventilador_crossvent_manual_crossvent_3.md;data/processed/ventilador_crossvent_manual_crossvent_3.md;54882;25/5/2026 16:39;;;;;;;;;;;
DOC-0059;;;;;ventilador_crossvent_manual_de_servicio_crossvent_biomed_devices_crossvent_4.md;data/processed/ventilador_crossvent_manual_de_servicio_crossvent_biomed_devices_crossvent_4.md;14955;25/5/2026 16:39;;;;;;;;;;;
DOC-0060;;;;;ventilador_engstrom_guia_rapida_para_enfermeras.md;data/processed/ventilador_engstrom_guia_rapida_para_enfermeras.md;15127;25/5/2026 16:39;;;;;;;;;;;
DOC-0061;;;;;ventilador_engstrom_manual_de_usuario_engstrom_carestation_anexo_es.md;data/processed/ventilador_engstrom_manual_de_usuario_engstrom_carestation_anexo_es.md;4354;25/5/2026 16:39;;;;;;;;;;;
DOC-0062;;;;;ventilador_engstrom_manual_de_usuario_engstrom_carestation_es.md;data/processed/ventilador_engstrom_manual_de_usuario_engstrom_carestation_es.md;378650;25/5/2026 16:39;;;;;;;;;;;
DOC-0063;;;;;ventilador_engstrom_manual_tecnico_ventilador_engstrom_espanol.md;data/processed/ventilador_engstrom_manual_tecnico_ventilador_engstrom_espanol.md;447538;25/5/2026 16:39;;;;;;;;;;;
DOC-0064;;;;;ventilador_engstrom_manual_tecnico_ventilador_ge_engstrom_aleman.md;data/processed/ventilador_engstrom_manual_tecnico_ventilador_ge_engstrom_aleman.md;282865;25/5/2026 16:39;;;;;;;;;;;
DOC-0065;;;;;ventilador_engstrom_ventilacion_no_invasiva.md;data/processed/ventilador_engstrom_ventilacion_no_invasiva.md;7769;25/5/2026 16:39;;;;;;;;;;;
DOC-0066;;;;;ventilador_leistung_luft3_5_nivel_3_terapia_fallas_frecuentes_fuga_1.md;data/processed/ventilador_leistung_luft3_5_nivel_3_terapia_fallas_frecuentes_fuga_1.md;3389;25/5/2026 16:39;;;;;;;;;;;
DOC-0067;;;;;ventilador_leistung_luft3_6_nivel_3_terapia_fallas_frecuentes_presion_1.md;data/processed/ventilador_leistung_luft3_6_nivel_3_terapia_fallas_frecuentes_presion_1.md;1165;25/5/2026 16:39;;;;;;;;;;;
DOC-0068;;;;;ventilador_leistung_luft3_7_nivel_3_terapia_fallas_frecuentes_flujo_2.md;data/processed/ventilador_leistung_luft3_7_nivel_3_terapia_fallas_frecuentes_flujo_2.md;3174;25/5/2026 16:39;;;;;;;;;;;
DOC-0069;;;;;ventilador_leistung_luft3_l3apnmu_b_manual_de_usuario_luft3apn_ap_1.md;data/processed/ventilador_leistung_luft3_l3apnmu_b_manual_de_usuario_luft3apn_ap_1.md;189742;25/5/2026 16:39;;;;;;;;;;;
DOC-0070;;;;;ventilador_maquet_servo_i_maquet_servo_i_service_manual.md;data/processed/ventilador_maquet_servo_i_maquet_servo_i_service_manual.md;141323;25/5/2026 16:39;;;;;;;;;;;
DOC-0071;;;;;ventilador_maquet_servo_i_maquet_servo_i_service_manual_2_of_2.md;data/processed/ventilador_maquet_servo_i_maquet_servo_i_service_manual_2_of_2.md;7539;25/5/2026 16:39;;;;;;;;;;;
DOC-0072;;;;;ventilador_neumovent_manualtecnico_bebe_rev_01.md;data/processed/ventilador_neumovent_manualtecnico_bebe_rev_01.md;55439;25/5/2026 16:39;;;;;;;;;;;
DOC-0073;;;;;ventilador_neumovent_manual_de_calibracion_neumovent_graph.md;data/processed/ventilador_neumovent_manual_de_calibracion_neumovent_graph.md;11976;25/5/2026 16:39;;;;;;;;;;;
DOC-0074;;;;;ventilador_neumovent_manual_de_usuario_neumovent_advance_ts_neo.md;data/processed/ventilador_neumovent_manual_de_usuario_neumovent_advance_ts_neo.md;446640;25/5/2026 16:39;;;;;;;;;;;
DOC-0075;;;;;ventilador_neumovent_manual_tecnico_nv_graph_rev_03.md;data/processed/ventilador_neumovent_manual_tecnico_nv_graph_rev_03.md;134570;25/5/2026 16:39;;;;;;;;;;;
DOC-0076;;;;;ventilador_neumovent_manual_tecnico_ventilador_neumovent_graphnet_neo_ts.md;data/processed/ventilador_neumovent_manual_tecnico_ventilador_neumovent_graphnet_neo_ts.md;208174;25/5/2026 16:39;;;;;;;;;;;
DOC-0077;;;;;ventilador_neumovent_pdfcoffee_com_manual_tecnico_neumovent_advance_neo_ts_2_pdf_free.md;data/processed/ventilador_neumovent_pdfcoffee_com_manual_tecnico_neumovent_advance_neo_ts_2_pdf_free.md;150872;25/5/2026 16:39;;;;;;;;;;;
DOC-0078;;;;;ventilador_neumovent_respimeradores.md;data/processed/ventilador_neumovent_respimeradores.md;31631;25/5/2026 16:39;;;;;;;;;;;
DOC-0079;;;;;ventilador_neumovent_tecme_graphnet_ventilator_service_manual_es.md;data/processed/ventilador_neumovent_tecme_graphnet_ventilator_service_manual_es.md;165208;25/5/2026 16:39;;;;;;;;;;;
DOC-0080;;;;;ventilador_newport_ht70_introduccion_newport_ht_70_plus.md;data/processed/ventilador_newport_ht70_introduccion_newport_ht_70_plus.md;42941;25/5/2026 16:39;;;;;;;;;;;
DOC-0081;;;;;ventilador_newport_ht70_newport_ht_70_ventilator_service_manual.md;data/processed/ventilador_newport_ht70_newport_ht_70_ventilator_service_manual.md;150403;25/5/2026 16:39;;;;;;;;;;;
